2010-07-16 16:17:34 Notice: Notice (8): Use of undefined constant teste - assumed 'teste' in [/var/www/vendas/NewMax/app/views/users/aclsetup.ctp, line 9]
2010-07-16 16:17:35 Notice: Notice (8): Use of undefined constant teste - assumed 'teste' in [/var/www/vendas/NewMax/app/views/users/aclsetup.ctp, line 9]
2010-07-16 19:50:20 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 105]
2010-07-16 19:50:23 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 105]
2010-07-16 19:50:47 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:50:48 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:50:49 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:07 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:16 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:21 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:22 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:58 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:51:59 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:52:41 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:52:52 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:52:53 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:52:53 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
2010-07-16 19:52:56 Notice: Notice (8): Undefined property: UsersController::$Auth in [/var/www/vendas/NewMax/app/controllers/users_controller.php, line 8]
